# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars289
# Data supplier: Agustín Nuñez / Astrocamp
# Location name: Nerpio/Albacete/Castile-La Mancha/Spain/ - Astrocamp
# Position: 38.1657813, -2.3268926, 0.0
# Local timezone: Europe/Madrid
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 5C:CF:7F:76:60:EC
# TESS firmware version: 1.0
# TESS cover offset value: 0.0
# TESS zero point: 20.45
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2021-12-01T00:00:05.000;2021-12-01T01:00:05.000;0.0;0.0;0.51;21.17;20.45;4036
2021-12-01T00:01:05.000;2021-12-01T01:01:05.000;0.0;0.0;0.52;21.17;20.45;4037
2021-12-01T00:02:05.000;2021-12-01T01:02:05.000;0.0;0.0;0.52;21.16;20.45;4038
2021-12-01T00:03:05.000;2021-12-01T01:03:05.000;0.0;0.0;0.52;21.16;20.45;4039
2021-12-01T00:04:05.000;2021-12-01T01:04:05.000;0.0;0.0;0.52;21.16;20.45;4040
2021-12-01T00:05:12.000;2021-12-01T01:05:12.000;0.0;0.0;0.52;21.15;20.45;4041
2021-12-01T00:06:11.000;2021-12-01T01:06:11.000;0.0;0.0;0.53;21.15;20.45;4042
2021-12-01T00:07:11.000;2021-12-01T01:07:11.000;0.0;0.0;0.53;21.14;20.45;4043
2021-12-01T00:08:11.000;2021-12-01T01:08:11.000;0.0;0.0;0.53;21.14;20.45;4044
2021-12-01T00:09:11.000;2021-12-01T01:09:11.000;0.0;0.0;0.53;21.13;20.45;4045
2021-12-01T00:10:11.000;2021-12-01T01:10:11.000;0.0;0.0;0.54;21.13;20.45;4046
2021-12-01T00:11:11.000;2021-12-01T01:11:11.000;0.0;0.0;0.54;21.12;20.45;4047
2021-12-01T00:12:11.000;2021-12-01T01:12:11.000;0.0;0.0;0.54;21.12;20.45;4048
2021-12-01T00:13:11.000;2021-12-01T01:13:11.000;0.0;0.0;0.54;21.12;20.45;4049
2021-12-01T00:14:11.000;2021-12-01T01:14:11.000;0.0;0.0;0.54;21.12;20.45;4050
2021-12-01T00:15:12.000;2021-12-01T01:15:12.000;0.0;0.0;0.54;21.11;20.45;4051
2021-12-01T00:16:12.000;2021-12-01T01:16:12.000;0.0;0.0;0.55;21.11;20.45;4052
2021-12-01T00:17:12.000;2021-12-01T01:17:12.000;0.0;0.0;0.55;21.11;20.45;4053
2021-12-01T00:18:12.000;2021-12-01T01:18:12.000;0.0;0.0;0.55;21.11;20.45;4054
2021-12-01T00:19:12.000;2021-12-01T01:19:12.000;0.0;0.0;0.55;21.1;20.45;4055
2021-12-01T00:20:12.000;2021-12-01T01:20:12.000;0.0;0.0;0.55;21.1;20.45;4056
2021-12-01T00:21:12.000;2021-12-01T01:21:12.000;0.0;0.0;0.55;21.1;20.45;4057
2021-12-01T00:22:12.000;2021-12-01T01:22:12.000;0.0;0.0;0.55;21.09;20.45;4058
2021-12-01T00:23:12.000;2021-12-01T01:23:12.000;0.0;0.0;0.55;21.09;20.45;4059
2021-12-01T00:24:12.000;2021-12-01T01:24:12.000;0.0;0.0;0.56;21.09;20.45;4060
2021-12-01T00:25:12.000;2021-12-01T01:25:12.000;0.0;0.0;0.56;21.08;20.45;4061
2021-12-01T00:26:12.000;2021-12-01T01:26:12.000;0.0;0.0;0.56;21.07;20.45;4062
2021-12-01T00:27:12.000;2021-12-01T01:27:12.000;0.0;0.0;0.57;21.06;20.45;4063
2021-12-01T00:28:12.000;2021-12-01T01:28:12.000;0.0;0.0;0.57;21.06;20.45;4064
2021-12-01T00:29:12.000;2021-12-01T01:29:12.000;0.0;0.0;0.57;21.06;20.45;4065
2021-12-01T00:30:12.000;2021-12-01T01:30:12.000;0.0;0.0;0.58;21.05;20.45;4066
2021-12-01T00:31:13.000;2021-12-01T01:31:13.000;0.0;0.0;0.58;21.04;20.45;4067
2021-12-01T00:32:13.000;2021-12-01T01:32:13.000;0.0;0.0;0.58;21.04;20.45;4068
2021-12-01T00:33:13.000;2021-12-01T01:33:13.000;0.0;0.0;0.58;21.03;20.45;4069
2021-12-01T00:34:13.000;2021-12-01T01:34:13.000;0.0;0.0;0.59;21.03;20.45;4070
2021-12-01T00:35:13.000;2021-12-01T01:35:13.000;0.0;0.0;0.59;21.02;20.45;4071
2021-12-01T00:36:13.000;2021-12-01T01:36:13.000;0.0;0.0;0.59;21.02;20.45;4072
2021-12-01T00:37:13.000;2021-12-01T01:37:13.000;0.0;0.0;0.6;21.01;20.45;4073
